group,category,t_Precision,t_Recall,t_IoU,v_Precision,v_Recall,v_IoU,v_IoU_Int
overall,overall,0.5191449739857197,0.3525563502935703,0.27501536819439387,0.08951421329444795,0.05710240085310982,0.04613030170785496,0.16585974622358468
object size,<10%,0.5199979506497955,0.3715554868499196,0.28351104526888876,0.04358560255848663,0.028491697718484865,0.02329763722754621,0.07895113654284205
object size,10%-30%,0.515779194734191,0.34410265090884923,0.2722738770279655,0.1092406936324884,0.07155640424104652,0.05825722094060007,0.2040887899722842
object size,>30%,0.5223089247530346,0.3238288998986895,0.26062215212579826,0.15857391366677884,0.09779507959128639,0.07772304798883913,0.3022411304064484
video duration,<1min,0.5890960824979227,0.5229374724520356,0.38682906123153543,0.124387564353028,0.09957611779935649,0.07770090016114588,0.19435613137091712
video duration,1-10min,0.6648933445475304,0.43594268348067555,0.35392723373124335,0.12364441091027159,0.07605151448263482,0.06355561306340483,0.18454105262591702
video duration,10-30min,0.4314888576853126,0.2737357599785657,0.21133692148684965,0.06489148394725369,0.03836164300301567,0.030549796009798763,0.14332432837839965
gt duration,<3s,0.3705826454340128,0.39664804469273746,0.25919389424976014,0.058452944411821625,0.05199897063886336,0.03927786446378077,0.12977593374600221
gt duration,3-10s,0.5177433960290597,0.380309547313496,0.2951388950901065,0.08658960488479032,0.0608365149354011,0.047890866521589685,0.1630445392959577
gt duration,10-60s,0.5871246063857125,0.26430536529691445,0.23199309145599334,0.1103292178971725,0.050070186252592803,0.044765434331325536,0.18434717145620133
