group,category,t_Precision,t_Recall,t_IoU,v_Precision,v_Recall,v_IoU,v_IoU_Int
overall,overall,0.452923223066837,0.3919374436979708,0.2591493433094416,0.08606500966672381,0.07486867564424511,0.051209270111198385,0.18468184301027313
object size,<10%,0.4645692328188612,0.3899231448008424,0.2601217800601456,0.027303020647048613,0.021725277814307692,0.014925642046170336,0.05875182226632438
object size,10%-30%,0.450443367864933,0.40763047424779003,0.26846247148717983,0.11290453408881547,0.10204745629338159,0.0708051524463383,0.2364896590092404
object size,>30%,0.4318336115682591,0.3729389841245019,0.2431597039075482,0.17078121116476833,0.14996085602157622,0.10092965105363115,0.3801690277169478
video duration,<1min,0.7654209009000702,0.6921727679009233,0.5432741957621987,0.1610596597499047,0.13953100697040272,0.11300329403785371,0.20564536653233711
video duration,1-10min,0.5866269228743857,0.5726500323206574,0.38967949132999463,0.12367817590927972,0.12555761352286757,0.08628496642076904,0.2100698154482294
video duration,10-30min,0.3045266568434558,0.2363565432254449,0.13192092118431523,0.04745306534417457,0.03554601689265516,0.0202344952691801,0.15077470740660462
gt duration,<3s,0.44737360863593945,0.3575418994413408,0.2443967459931701,0.08103428192453566,0.053446927427354164,0.04308754115411265,0.1605569553526654
gt duration,3-10s,0.4622578352548008,0.4021173161597643,0.2579882337018955,0.08067458313361453,0.07147195240123616,0.04568050234476055,0.1731848664686419
gt duration,10-60s,0.432285186443322,0.38175261923262754,0.2685045368193847,0.10156245924441948,0.09270047362461653,0.06849954273551181,0.22451607372249127
