group,category,t_Precision,t_Recall,t_IoU,v_Precision,v_Recall,v_IoU,v_IoU_Int
overall,overall,0.7300015522908886,0.5979507819740987,0.5318621876706574,0.44555780659003835,0.3631752146262731,0.32571311725568564,0.6030453651761155
object size,<10%,0.7078675605749818,0.5793943630936441,0.5145957609735717,0.32078292295562155,0.257062389458043,0.23314772947277854,0.44132750160611084
object size,10%-30%,0.7384513119667491,0.6155548573532876,0.5450976942339607,0.5297213508392856,0.44443774496470173,0.39420633639390396,0.7121069279614328
object size,>30%,0.765513057811768,0.6120831608838755,0.5496972035953743,0.5914291790113924,0.4728982891818493,0.42499517062716985,0.7721645854722224
video duration,<1min,0.8503790438256458,0.668012125415038,0.614293638712392,0.5005744674300645,0.39455654988344946,0.3670320949026974,0.5785931925671937
video duration,1-10min,0.8182662261811329,0.6836363794311964,0.6147624129523312,0.5241474976574655,0.43448856177132494,0.3962067088921175,0.6297205110220654
video duration,10-30min,0.659830400739738,0.5401440325887229,0.47270046980415253,0.39460856836679603,0.3210101469983554,0.28175893168261,0.5937410724688033
gt duration,<3s,0.5649266004014607,0.5977653631284916,0.47241952646980584,0.332539045955472,0.34742848788017033,0.27956929736265873,0.572773182708707
gt duration,3-10s,0.7312598537914555,0.6084962942070543,0.5465983389351958,0.45167094589641027,0.37524298913078524,0.34008806025684263,0.609796934925638
gt duration,10-60s,0.7993061443770021,0.5718492772715975,0.5213536463078509,0.479994018146032,0.34012131392647316,0.3102668586789202,0.5983108822047899
